title,heading,content,question,url,param
유저의 로그인 기록,1,유저의 로그인 기록(정보 내역),Tell me the user's log-in record (information history),user-login-info,uid
유저의 아이템 구매 기록,2,유저의 아이템 구매 기록(정보 내역),Tell me the user's item purchase record (information history),user-buy-item-info,uid
유저의 현금 충전 기록,3,유저의 현금(캐쉬) 충전 기록(정보 내역),Tell me the user's cash (cash) charging record (information history),user-cash-charge-info,uid
유저의 현금 아이템 구매 기록,4,유저의 현금(캐쉬) 아이템 구매 기록(정보 내역),Tell me the user's cash (cash) item purchase record (information history),user-buy-cash-item-info,uid
유저의 현금 아이템 환불 기록,5,유저의 현금(캐쉬) 아이템 환불 기록(정보 내역),Tell me the user's cash (cash) item refund record (information history),user-refund-cash-item-info,uid
어제 접속자 수,6,어제 접속한(로그인한) 유저 숫자,Tell me the number of users who accessed (logged in) yesterday,yesterday-total-login-count
저번달 접속자 수,7,한달 전부터 어제까지(저번달) 접속한(로그인한) 유저의 주간별 일별 접속자 수,Calculate Weekly count by 7 days and sum count of users who logged in (logged in) from one month ago to yesterday,last-month-total-login-count,none
작년 월 평균 접속자 수,8,일년 전부터 어제까지(작년) 월 평균 접속한(로그인한) 유저 숫자,Tell me the number of users who accessed (logged in) per month from one year ago to yesterday,last-year-monthly-login-count,none
최근 1주일 매출,9,최근 일주일 매출 정보,Calculate daily sales and sum sales from one week ago to yesterday,last-week-daily-sales,none
저번달 1달간 매출,10,1달 전부터 어제까지(저번달) 매출 정보,Calculate every Weekly sales by 7 days and sum sales from 1 month ago to yesterday,last-month-daily-sale,nones
